Obs,Cust,D1.1,D1.2,D1.3,D1.4,D2.1,D2.2,D2.3,D2.4,D2.5,D2.6,D3.1,D3.2,D3.3,D3.4,D3.5,D4.1,D4.2,D4.3,D4.4,D4.5,D4.6,D4.7,D4.8,D4.9,D4.10,D5,D6,D7,D8,D9.1,D9.2,D9.3,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D11.1,D11.2,D11.3,D11.4,D11.5,D11.6,D11.7,D11.8,D11.9,D11.10,D11.11,D12.1,D12.2,D12.3,D12.4,D12.5,D12.6,D12.7,D12.8,D12.9,D12.10,D12.11,D12.12,D12.13,D12.14,D12.15,D12.16,D12.17,D12.18,D13,D14.1,D14.2,D14.3,D14.4,D14.5,D14.6,D14.7,D15.1,D15.2,D15.3,D15.4,D15.5,D15.6,D15.7,D16,D17.1,D17.2,D17.3,D17.4,D17.5,D17.6,D17.7,D18.1,D18.2,D18.3,D18.4,D18.5,D18.6,D18.7,D18.8,D18.9,D18.10
319,1,2,4,2,4,1,6,1,1,1,,Chipotle,Chick Fil A,Sticks,Taqueria Poblano,,2,3,2,1,1,2,2,1,3,,1,2,2,1,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,,,,6,,,,,,,,,,16,,,2,1,2,3,4,5,,,1,,,,,,,1,,,1,1,,,,5,3,3,2,1,3,3,3,6,
320,1,1,3,2,1,1,1,2,5,1,,Sticks,Feast,Paneras,Aromas,UVA Cafeteria,1,2,1,1,1,2,2,2,2,coupons available for returning customers,1,3,2,2,2,1,1,,,,,5,,,physician,1,2,3,4,,6,,8,,10,"squash, gymnastics, band,robotics",,,,,5,,,,,,,,,,,,17,,3,1,,,4,5,,UVA phone book,,,3,,,,Coupon in the UVA phone book,1,5,4,3,3,1,6,,2,2,2,2,2,2,2,2,2,
321,1,1,1,2,2,2,4,1,3,2,,Sticks,Wendys,Henrys,Home,Home,2,3,2,3,1,2,3,2,3,,1,3,2,2,,1,4,1,,,,,,,Systems Administrator,,,,,,,,,,,None,,,3,,,,,8,,,,,,,,,,Horseback Riding,2,1,,,,5,6,,1,,,,,,,1,2,6,6,6,6,6,,2,3,3,3,3,3,3,2,3,
322,1,2,4,2,2,3,4,1,2,1,,panera,chipotle,chick fil a,,,2,2,1,1,1,2,2,1,2,,1,3,2,2,,,,,,,,,,7,,,,,4,,,,,,,,1,,,,5,,,8,,,,12,,,,,17,,3,1,2,,4,5,,,1,,,,,,,2,,,,,,,,1,1,1,1,1,1,1,1,1,
323,1,1,4,2,2,5,1,1,2,1,,at home,The Cook Out,Busch Gardens,Sticks,DOG Street Pub,1,2,1,1,1,1,1,1,2,,2,2,1,2,,,,,,,,5,,,Museum Work,,,,,,,,,,,,1,,,,,6,,,9,10,11,,,,,16,,,1,,,,,,,,,,,4,,,,1,,1,,,,,,2,3,2,2,2,2,3,2,3,
324,1,3,4,2,2,4,2,1,3,2,,Zazus,Sticks,Outback,Guadalajara,Plaza Azteca,1,1,1,1,1,2,2,2,2,,2,2,2,1,0,0,0,,,,,,,7,IT,,,,,,,,,,,,,,,,5,6,,,,,,,,14,,16,,Soccer,2,1,,3,4,5,6,,1,,,,,,,1,3,4,2,3,6,6,,2,3,3,2,2,2,2,2,2,
325,1,1,2,2,2,1,6,1,2,1,,mcdonalds,chick fillet,taco bell cobbs,dominos,sticks,1,1,1,1,1,1,1,1,1,,1,2,1,2,1,1,,,,,,,,7,medical field,,2,,,,6,,8,,10,baseball,,,3,,,6,,,,,,,,,15,,17,"crafts, gym",2,1,2,3,4,5,6,coupon books,1,2,,,5,,,1,1,6,6,6,6,6,,1,1,1,1,1,1,1,1,1,
326,1,1,4,2,2,2,1,1,5,1,,arbys,chik fila,wendys,mcdonalds,sticks,3,2,2,2,1,2,2,2,2,,2,3,1,1,,1,2,,,,,,,7,sales,,,,,,,,,,,,,,,,,,7,,,,,,,14,,16,,,2,1,2,3,,5,,,,,,4,,,,1,3,6,6,6,6,6,,3,1,2,2,1,1,1,1,2,
327,1,1,4,2,1,1,,5,2,3,,Tropical Smoothie,Sticks,Pita Pit,Applebee's,,1,1,1,1,1,1,1,1,5,,1,1,1,1,,,,,,,,,6,,Student,,,,,,,,,,,,,,3,,,,,,,,,,,14,,16,,,1,,,,,,,,1,,,,,,,1,2,1,1,2,6,6,,3,2,3,2,1,1,3,1,6,
328,1,1,2,2,2,2,1,4,3,1,,Sticks,Cookout,Bellair Market,Panera,Chipotle,2,2,2,2,1,2,2,2,2,,1,2,2,1,0,0,0,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,11,12,,14,,16,,,1,,,,,,,,1,,,4,5,,,1,3,1,1,2,1,6,,2,1,1,1,1,2,2,1,2,
