Obs,Cust,D1.1,D1.2,D1.3,D1.4,D2.1,D2.2,D2.3,D2.4,D2.5,D2.6,D3.1,D3.2,D3.3,D3.4,D3.5,D4.1,D4.2,D4.3,D4.4,D4.5,D4.6,D4.7,D4.8,D4.9,D4.10,D5,D6,D7,D8,D9.1,D9.2,D9.3,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D11.1,D11.2,D11.3,D11.4,D11.5,D11.6,D11.7,D11.8,D11.9,D11.10,D11.11,D12.1,D12.2,D12.3,D12.4,D12.5,D12.6,D12.7,D12.8,D12.9,D12.10,D12.11,D12.12,D12.13,D12.14,D12.15,D12.16,D12.17,D12.18,D13,D14.1,D14.2,D14.3,D14.4,D14.5,D14.6,D14.7,D15.1,D15.2,D15.3,D15.4,D15.5,D15.6,D15.7,D16,D17.1,D17.2,D17.3,D17.4,D17.5,D17.6,D17.7,D18.1,D18.2,D18.3,D18.4,D18.5,D18.6,D18.7,D18.8,D18.9,D18.10
2,0,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,3,3,2,2,6,,,2,,Applebees,Subways,Papa Johns,Johnny Rocket,McDonalds,2,1,1,2,1,1,1,1,3,,1,1,1,2,,,1,,,,,,6,,,,,,,,6,,,,10,,,,,,5,,,,,,,12,,14,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,4,3,2,5,5,1,1,2,,Casa Grande,Chic-fila,Jade,Texas Roadhouse,Plaza Ateza,1,2,1,2,1,1,1,1,1,,1,3,2,1,,,,,,,,,,7,,,,,,,,7,8,,10,,,,,,,,,,,,,,,,15,,,,3,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,2,4,1,2,4,5,1,1,1,,Kentucky,Burger King,Wendys,McDonalds,,1,1,1,2,1,2,4,4,5,,1,2,1,1,0,0,0,,,,,,,7,insurance customer service,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,"walking, internet",5,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,4,2,3,7,1,1,1,1,,Buffalo Wild Wings,Mexican,Sonic,Marios,Mcds,1,1,1,2,1,1,1,1,3,,1,1,1,2,1,0,4,,,,,,,7,,,,,,,,,,,,Baseball,,,,,,,,,9,,,,,,15,,,Volleyball,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,2,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,2,2,3,3,3,6,1,1,1,,sino-american,anna's italian kitchen & restaurant,cracker barrel,olive garden,,1,1,1,1,1,2,2,1,3,,1,3,1,2,0,0,1,,,,,,,7,customer service,,,,,,6,7,8,,,,,,,,,6,,8,,,,,,,,,,"various crafts like knitting, crocheting, sewing",5,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,1,2,1,1,1,3,1,4,1,,McDonalds,Subway,Chick-fil-a,Mexico Resturant,Pizza Hut,1,2,1,1,1,2,2,1,2,,1,2,2,3,2,1,,,,,4,,,,Healthcare,,,,,,6,,8,9,10,,,,,,,,,,,,,,,14,15,,17,,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,3,3,2,3,6,1,1,2,3,,pizza hut,dragon garden,marrios pizza,mcdonalds,mcdonalds,1,1,1,1,1,1,1,1,1,,1,2,1,2,two,none,none,,,,,,6,,stay at home mom,,,,,,6,,8,,,"walking, excercise class",,,,,,,,,,,,,,,,,17,"walking ,excercise class",3,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,1,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,2,4,2,2,5,2,1,2,2,,Olive Garden,Bulls,McDonalds,,,1,1,1,3,1,1,1,1,3,,1,2,2,1,non,none,none,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,3,,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,2,4,2,3,3,5,1,2,1,,wendys,arbys,simons cafe food cart,christophers run away gourmet food cart,mcdonalds,1,2,2,3,1,2,3,2,2,,1,2,2,2,2,0,0,,,,,,,7,administrative assistant,,2,,,,,,,,,basketball,,,,4,,,,,,10,,,,14,,,17,,2,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,2,3,2,2,6,5,3,2,3,,n/a,n/a,n/a,n/a,n/a,3,4,2,1,1,2,2,1,3,,2,1,2,1,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,,,5,6,,,,,11,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1,3,2,1,5,5,1,1,1,,applebees,chilis,ruby tuesdays,fridays,chipotle,1,2,2,2,1,1,2,1,2,,2,3,3,2,0,0,1,,,,,,,7,,1,,3,,5,6,,8,,10,,1,2,3,,5,,7,8,9,10,11,,,14,15,16,17,,2,1,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,2,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,2,2,1,2,6,1,1,3,1,,Continental,Chili's,Blue Goat,Roosevelt,Lemaire,2,2,2,2,1,2,2,1,1,,2,2,2,2,0,0,0,,,,,5,,,chef,,,,,,,,,,,no children,1,,,,5,,,,,,11,12,,14,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,2,4,2,2,2,1,1,1,1,,Hardees,Arbys,,,,1,1,1,5,1,1,1,1,3,,1,3,1,2,0,0,0,,,,,,6,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,1,3,3,2,3,5,1,2,2,,Cheddars,Applebees,Chick Filet,McDonalds,Taco Bell,3,2,1,1,2,2,2,2,2,,2,3,2,2,0,0,0,,,,,5,,,,,,,,,,,,,,,,,3,,,,,8,,,,,,,,,,,2,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,2,2,1,2,3,5,1,1,2,,Golden Corral,,,,,1,1,1,2,1,1,1,1,1,,1,2,1,1,3,,,,,,,5,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,17,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,3,3,2,1,2,1,4,5,3,,Wendys,Mcdonalds,Burger King,T.G.I.Fridays,Golden Corral,2,2,1,1,1,1,2,2,2,,1,1,1,1,1,,,,,,4,,,,Fast food,,,,,,,,,,,,,,3,,,,,,,,,,,14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,1,4,2,1,3,4,3,,,,don papa grande,outback,buffalo wild wings,applebees,,3,2,1,1,1,2,1,2,3,,1,3,2,2,,1/13/2014,,,,,,,,7,,,,3,,5,6,,8,,10,,,2,3,,,,,,,,,12,13,14,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,1,3,2,1,7,6,1,1,1,,Panera,Texas Roadhouse,Red Robin,Plaza Azteca,China Taste,2,2,1,1,2,2,2,2,2,,1,2,2,2,1,0,0,,,,,5,,,,1,,,,,,,,9,,art,1,,,,5,,,,,,,,13,,15,,17,soccer,2,1,2,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,2,4,2,4,4,1,1,4,6,,Teasty Freeze,McDonalds,Burger King,Wendy's,Hardee's,1,1,1,2,1,1,1,1,2,Cleanliness,2,2,1,2,0,0,1,,,3,,,,,Private Security,,,,,,,,,,,,,,,4,,,,8,9,10,,,,14,,16,,Archrey,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,2,3,2,2,6,1,1,3,1,,Olive Garden,Lings Island,Charleys,Country Cooking,Weindy'sAr,2,2,2,1,1,2,1,1,2,Clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,2,2,1,2,7,,,,,,McDonalds,KFC,Hardee's,Pizza Hut,Local Pizzeria,1,2,1,3,1,1,1,1,2,,1,2,1,1,0,0,0,,,,,,,7,Healthcare Nurse,,,,,,,,,,,No children,,,3,,,,,8,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,1,2,1,2,3,2,5,3,3,,Starbucks,California Tortilla,Tokyo Sushi,Ruby Tuesday,Applebees,1,2,1,1,1,1,2,1,2,,1,2,3,2,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,3,,,6,,,9,10,,,,14,15,16,,Group exercise and travel,2,,,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,2,3,2,2,6,1,1,2,2,,McDonald's,Wendy's,Olive Garden,Golden Corral,Arby's,1,1,1,2,1,1,1,1,3,,1,4,1,1,0,0,0,1,,,,,,,Retired,,,,,,,,,,,,1,,,,,,,8,,,,,,14,,,,,2,1,2,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,2,4,1,2,5,2,1,2,2,,Don Pedros,Chilis,Sticky Rice,Bo Dillaz,Penny Lane,2,2,2,2,1,2,2,2,2,,1,3,3,2,0,2,1,,,,,5,,,minister,,,,,,,,8,9,,,1,,,,,,,,,,,,,14,,16,,zumba,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,1,4,2,2,3,1,1,1,5,,Mcdonalds,hardees,5 guys,chipotle,7/11/2014,1,2,1,3,1,1,2,3,3,,2,1,1,1,0,2,0,,,,,,,7,,,,,,,,,8,,,,1,,,,,,,,9,,,,,,,,,,3,1,2,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,2,3,2,3,7,1,1,1,2,,McDonalds,Burger King,Dominos,,,1,2,2,4,2,3,3,1,5,,1,3,2,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,3,3,1,3,6,5,6,6,5,,mcdonalds,hardees,,,,1,2,2,2,1,1,2,2,2,,2,2,1,1,2,0,0,,,,,5,,,,1,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,1,4,2,2,4,1,3,,2,,Muddy Buck,Taco Bell,Stage Coach Saloon,Wendys,McDonalds,2,1,1,4,1,1,2,2,2,,1,3,1,1,0,0,0,,,,,,,7,Caregiver,,,,,,,,,,,N/A,1,,,,,6,,,,,,,13,14,,16,,attending fundraisers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,2,4,2,4,5,1,1,1,3,,McDonalds,Costco food court,Cracker Barrel,Freda's (local Mexican restaurant),Chef Lee (local Chinese restaurant),2,2,1,2,2,1,2,1,2,,1,3,1,1,0,15,0,,,,,,6,,,,,,,,,,,,,"hunting, fishing, horseback riding, photography",1,,,,,6,,,,,11,,,,,16,,"exercise, cooking, crafts, photography",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,2,4,2,1,2,4,1,4,1,,Champps,Frank's Italian,Chianti,Arby's,Deep Run Roadhouse,2,2,1,5,1,2,2,2,3,,1,3,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,16,,,2,,2,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,2,4,2,2,6,1,1,2,3,,panera,ruby tuesday,fridays,crazy greek,bonefish,3,1,1,1,1,1,1,1,2,,1,4,2,1,0,0,4,,,,,,6,,,,,,,,,,,,,Don`t have children living at home,,,,,,6,,,9,,11,12,,,,,,,5,1,2,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,2,3,2,2,7,1,1,4,2,,McDonalds,Papa Johns,Popeys,Taco Bells,KFC,1,1,1,2,1,1,1,1,2,,1,3,1,2,3,0,0,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,14,,,17,,2,1,2,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,2,4,1,2,6,6,6,2,1,,;LKJB,;;lhbdsDBJ;SD,jbiks;,euoibe,bkj;s,2,1,1,1,1,2,2,2,3,,2,2,2,2,0,1,0,,,,,,,7,sercuity,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,2,2,2,2,3,2,2,2,3,,chick-fil-a,burger king,mcdonalds,subway,bojangles,1,1,1,2,1,2,2,1,5,,1,1,2,2,1,,,,,,,5,,,Student,,,,,,,,,,,Basketball,1,,,,,,,,,,11,,,,,16,,,2,1,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,3,2,2,2,3,5,1,2,3,,Hardees',Chef Lee,Dairy Queen,,,1,1,1,3,1,2,2,1,3,,2,3,2,2,0,0,0,,,,,,,7,Web design / architecture,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,Reading,3,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,1,3,2,2,7,1,1,1,1,,none,,,,,2,1,1,3,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,3,3,2,3,7,1,1,2,2,,Logan's,Cook Out,,,,3,1,1,2,1,1,1,2,2,,1,3,1,2,,1,1,,,,,,6,,,1,,,,,6,,,,,,,,,,,6,,8,9,,,12,,14,,,,,4,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,2,3,3,3,2,6,1,2,1,,Chick Fil A,Panera Bread,Hibachi Grill,Cracker Barrel,Firehouse Subs,2,3,2,4,1,3,3,2,3,,2,1,2,2,0,0,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,Basketball,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,2,4,2,2,3,1,1,2,3,,kfc,burger king,macdonalds,subway,pizza hut,2,2,2,2,2,2,2,2,3,,1,3,1,1,1,0,1,,,,,,6,,,,,,,,,,,,,none,,,,,,,,,,,,,,14,,,,,2,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,3,2,2,2,2,1,1,1,7,,subway,top china,golding corral,chenellos,papa john,1,2,1,1,1,1,2,1,2,,1,2,1,2,,,,,,3,,,,,fast food,,,,,,6,,,,,my children dont live at home,,,,,,,,,,,,,13,,,,,I do arts and craft,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,2,3,4,2,7,7,7,1,3,,Red Lobster,,,,,2,1,1,2,1,1,1,1,2,,1,3,1,2,0,1,0,,,,,,6,,,,,,,5,,,8,,,,,,,,,,,8,9,10,,,,14,,,17,,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,2,1,2,2,5,1,2,2,1,,Chick-fil-a,Jersey Mikes,Taco Bell,Chili's,McDonalds,1,2,1,2,1,1,1,1,3,,1,1,1,1,0,0,0,,,,,,6,,,,,,,,,,,,,No kids,1,2,3,,5,,,,,,,,,14,15,,17,,2,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,3,2,2,2,4,1,1,4,1,,Cookout,Taco Bell,McDonalds,Chipotle,Sonic,1,1,1,2,1,2,2,1,2,,1,1,2,2,0,1,3,,,,,,6,,Student,,,,,,,,,,,,1,,,,5,6,,,,,,,,14,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,2,3,1,1,7,1,1,1,4,,Starbucks,Chipotle,McDonald's,Trigris,Popeye's,2,2,2,2,1,1,1,1,3,,1,1,1,3,none,none,none,,,,,,6,,,,,,,,,,,,,,,,,,,,,8,9,10,,,,14,,16,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,2,2,3,2,7,1,1,2,1,,Long John Silver's,Subway,Little Caesar's,Captain Tom's,,2,1,1,2,1,1,2,1,2,,1,2,1,2,1,1,0,,,,,,6,,,,,,,5,,,8,,,,,,3,,,,,,,,,,,,,,17,,2,1,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,2,4,2,2,7,1,1,2,1,,Ruby Tuesday,Johnny Rockets,Panera,Smokey Bones,Wendy's,2,1,1,2,2,2,3,2,3,,1,2,1,2,1,0,0,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,1,2,3,1,4,1,1,1,5,,babes,galaly,,,,1,2,1,2,2,2,2,2,1,,1,3,1,1,0,0,0,,,,4,,,,,,,,,,6,,,,,,,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0,1,2,2,1,7,2,2,3,3,,quiznos,chickn fila,ruby tuesdays,fridays,wendys,1,1,1,1,1,1,1,1,1,,1,2,1,2,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,2,2,2,2,1,1,1,7,1,,Lamer Resturant,Lamer Resturant,Lamer Resturant,Lamer Resturant,Lamer Resturant,1,2,1,1,1,2,2,1,1,,1,3,1,1,0,0,0,1,,,4,5,6,7,,,,,,,,,,,,none,,,3,,,,7,,,,,12,13,14,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,2,3,2,2,1,5,1,1,1,,Burger King,McDonald's,Wendy's,Captain Dee's,Red Lobster,1,2,1,2,1,2,2,2,2,,1,3,1,1,,,2,,,,,,,7,,,,,,,,,,,,Work,,,,,,,,,9,,,,,14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,3,1,2,2,7,1,1,1,1,,Outback Steakhouse,,,,,1,1,1,2,1,1,2,1,2,,1,3,1,1,0,0,0,,,,,,6,,retired/disabled,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0,4,3,1,1,1,1,1,5,2,,mcdonalds,wendys,hardees,ruby tuesdays,applebees,1,1,1,1,1,1,1,1,,,1,2,1,1,1,0,0,,,,,,,7,,,,,,,,7,,9,,,,,3,,5,,,,,,,,,,,,,,2,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,3,1,1,2,5,1,1,3,1,,McDonalds,Little Cesears,Panera,,,1,1,1,1,1,1,1,1,,,1,3,2,2,0,1,1,,,,,,6,,Student,,,,,5,6,7,8,,,,,,,,5,6,,,,,,,,14,,16,,"Painting, among other crafts.",3,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,2,1,4,3,5,1,1,3,6,,O'Charleys,McDonalds,Red Lobster,,,3,2,1,1,1,1,1,1,1,,2,4,1,2,,,,,,,4,,,,Photographer,,,,,,,,,,,,1,,,,,6,,8,,10,,12,,14,,,,Landscape photography,5,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,1,2,2,1,6,1,1,3,1,,ihop,ocharleys,waffle house,chickfila,wendys,1,2,1,4,1,1,1,1,1,,1,1,2,2,0,0,3,,,,,,,7,retail,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,shopping,2,1,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,2,3,2,1,7,5,,3,2,,Red Lobster,Ruby Tuesday,Apply Bees,Steak & Shake,Mc Donald,1,1,1,1,1,1,1,1,1,,1,3,1,2,,,one,,,,,,6,,,,,,,,,,,,,Do not have young children living with me.,1,,,,,,,,,,,,13,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,2,3,4,2,4,1,5,1,1,,El Vaquero West,Happy Garden,Cracker Barrel,Olive Garden,Buffalo Wild Wings,2,2,1,2,1,2,2,1,3,,1,1,3,2,1,3,1,,,,,,6,,Student,1,,,,,6,,,,10,,,,,,,,,,9,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,3,4,3,2,1,5,2,1,1,,Pappaduax,Applebees,Fridays,Cheesecake Factory,Texas Day Brazil,1,1,1,1,1,1,1,3,3,,1,2,2,2,2,1,,,,,,,,7,,,,,,5,6,,8,,,,1,,,,,,,,,,,,,,,,17,,2,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,2,3,2,1,2,6,1,1,1,,Ruby Tuesday,Pinos,,,,3,2,2,3,1,1,1,1,3,,1,3,3,2,1,,1,,,,,5,,,,,,,,5,,,,,,Girl Scouts,,,,,,,,,,,,,,,,,17,Working Out at the YMCA,2,,,,,,6,Mailed to me,,,,,,,,,,,,,,,,,,,,,,,,,
112,0,1,4,3,2,4,1,1,,1,,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,1,2,2,3,,1,3,2,1,None,None,None,,,,,,6,,unemployed,,,,,,,,,,,N/A,,,,,,,,,,,,12,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,1,2,3,1,3,1,1,5,2,,arbys,mcdonalds,wendys,taco bell,pizza hut,1,1,1,3,1,1,2,2,3,,1,2,2,2,1,2,0,,,3,,,,,hospitality,,2,,,,6,,,,,gymnastics,,,,,,,,,,,,,,14,15,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,2,2,1,2,6,1,1,4,1,,applebee,rudy tuesday,padow's,kanpal,crossflite,1,2,1,1,1,1,1,1,2,,1,3,2,3,16,,18,,,,,,6,,,,,,,,6,,,,10,,1,,,,,,,,9,,,,,14,15,16,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,1,4,2,1,3,1,2,5,1,,Bo jangles,sonic,longhorn steakhouse,cheese cake factory,denny's,2,1,1,1,1,1,1,1,1,,2,3,2,2,0,0,0,,,,,,,7,nurse assistant,,,,,,,,,,,,,,,,,6,7,8,9,10,,,,,,,,"Reading,",2,1,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0,3,3,2,3,3,1,4,1,1,,chick fila,china taste,,,,3,1,1,1,1,1,2,1,3,,1,1,1,1,,,,,,,,,,7,student,,,,,,,,,,,,,,,,5,,,,,,,,,14,15,,,,2,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,1,4,2,2,4,3,2,2,1,,arbys,mcdonmalds,panera,,,1,1,2,2,1,1,1,2,2,,1,2,2,2,1,1,2,,,,,,6,,,,,,4,5,,,,,,,,2,3,,,,,,,,,,,,,,,,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,1,2,2,4,3,6,1,1,1,,California Pizza Kitchen,Olive Garden,IHOP,T.G.I. Friday's,Roma,2,2,1,2,1,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,1,3,2,2,4,1,1,2,4,,Tazikis,Tripps,Leo's Pizza,,,1,1,1,3,1,1,2,1,3,,1,2,2,2,1,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0,1,2,1,2,6,1,1,1,3,,Red Robin,Bertucci's,Chick FilA,,,1,2,1,2,1,2,2,2,3,,1,3,1,2,0,1,1,,,,,5,,,,,,3,,5,,7,8,,10,,1,,,,,,,,,,,12,,,,,,Aerobics,4,1,2,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0,2,2,2,2,4,,,3,3,,Sidewalk Cafe,Cookout,The Village,Kuba Kuba,821 Cafe,2,1,1,2,1,2,2,1,2,,1,1,1,3,0,0,3,,,,,,,7,,,,,,,,,,,,,1,,3,,,,,,,,,,,14,,16,,,2,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0,2,2,2,2,4,4,4,4,4,,fridays,outback,ocharlies,applebees,olive garden,3,3,3,3,3,3,3,3,3,,1,3,1,2,0,1,0,,,,,5,,,bus driver,,2,,,5,,,8,,10,,,,3,,,,,,,,,,,14,15,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,1,1,1,2,7,1,1,1,1,,PRIMOS,APPBLEBEES,MCDONALDS,ARBYS,WENDYS,1,1,2,2,2,2,2,2,2,,1,2,2,2,2,1,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
